name_m1,name_m2,score,wc_m1,wc_m2,wc_inter
acmilan,c_programming,,,,
acmilan,football,,,,
acmilan,java,,,,
acmilan,timbers,,,,
c_programming,football,,,,
c_programming,java,,,,
c_programming,timbers,,,,
football,java,,,,
football,timbers,,,,
java,timbers,,,,
acmilan,c_programming,,,,
acmilan,football,,,,
acmilan,java,,,,
acmilan,timbers,,,,
c_programming,football,,,,
c_programming,java,,,,
c_programming,timbers,,,,
football,java,,,,
football,timbers,,,,
java,timbers,,,,
acmilan,c_programming,,,,
acmilan,football,,,,
acmilan,java,,,,
acmilan,timbers,,,,
c_programming,football,,,,
c_programming,java,,,,
c_programming,timbers,,,,
football,java,,,,
football,timbers,,,,
java,timbers,,,,
acmilan,c_programming,,,,
acmilan,football,,,,
acmilan,java,,,,
acmilan,timbers,,,,
c_programming,football,,,,
c_programming,java,,,,
c_programming,timbers,,,,
football,java,,,,
football,timbers,,,,
java,timbers,,,,
acmilan,c_programming,,5145,6309,2501,32422.0,0.2809543464317489,0.2270730256254328,0.27585019099266006,0.18547772283804226
acmilan,football,,5145,3803,2526,32747.0,0.4056999496998657,0.2860685810615524,0.39667315573977124,0.28434197267639727
acmilan,java,,5145,7491,3101,49480.0,0.3042172104105698,0.2158573635641059,0.28839816266812635,0.18057720670412053
acmilan,timbers,,5145,4521,3082,49176.0,0.33533759543806696,0.2593977586337491,0.3155549609904589,0.21700762335286838
c_programming,football,,6309,3803,1791,16074.0,0.2882042980571501,0.29426312954522377,0.27991792304052443,0.3027337432220564
c_programming,java,,6309,7491,4148,86877.0,0.25531495378143115,0.19659850625252295,0.2415904484290731,0.1619374379000094
c_programming,timbers,,6309,4521,2389,28590.0,0.35429516845850667,0.28598054343660556,0.31838125094104575,0.23637818932794497
football,java,,3803,7491,2089,22913.0,0.3370493311354168,0.30869833159363064,0.31651330702491054,0.33665491019912186
football,timbers,,3803,4521,2331,27894.0,0.29391954319406577,0.20961974610559497,0.27591976697721565,0.17142784895524085
java,timbers,,7491,4521,2893,43275.0,0.40432206271320514,0.29611548918056646,0.3515931974776146,0.2662877782882685
acmilan,c_programming,,5145,6309,2501,32422.0,0.2809543464317489,0.2270730256254328,,0.18547772283804226
acmilan,football,,5145,3803,2526,32747.0,0.4056999496998657,0.2860685810615524,,0.28434197267639727
acmilan,java,,5145,7491,3101,49480.0,0.3042172104105698,0.2158573635641059,,0.18057720670412053
acmilan,timbers,,5145,4521,3082,49176.0,0.33533759543806696,0.2593977586337491,,0.21700762335286838
c_programming,football,,6309,3803,1791,16074.0,0.2882042980571501,0.29426312954522377,,0.3027337432220564
c_programming,java,,6309,7491,4148,86877.0,0.25531495378143115,0.19659850625252295,,0.1619374379000094
c_programming,timbers,,6309,4521,2389,28590.0,0.35429516845850667,0.28598054343660556,,0.23637818932794497
football,java,,3803,7491,2089,22913.0,0.3370493311354168,0.30869833159363064,,0.33665491019912186
football,timbers,,3803,4521,2331,27894.0,0.29391954319406577,0.20961974610559497,,0.17142784895524085
java,timbers,,7491,4521,2893,43275.0,0.40432206271320514,0.29611548918056646,,0.2662877782882685
